Title,Source,Date,Author,Author Profile,Modification,IP Status
Cat <3,https://www.flickr.com/photos/ixmati/12860756624/,1 Mar 2014,Nate Angell,http://xolotl.org/,here slightly cropped,CC BY 2.0
Boats In The Sea,https://www.thegreats.co/thegreats/public/artworks/boats-in-the-sea,2021,Joshua Rush,https://www.thegreats.co/thegreats/public/artists/joshua-rush,,CC BY-SA 4.0
Character Model Sheet (1950s),https://lumiere-a.akamaihd.net/v1/images/6_0954a229.jpeg,1950,Tom Oreb,https://www.imdb.com/name/nm0649603/,,ARR
Marginalia from page 162 of the Pontifical of Guillaume Durand,https://archive.org/details/BSGMS143/page/n162/mode/1up,circa 1367,Maître de Pierre de Saint-Martial,,detail,PD
"Boats for hire, Versailles",https://flic.kr/p/dbFp8p,17 Sep 2012,Mustang Joe,https://www.flickr.com/photos/mustangjoe/,,CC0
